Accidental tourism?,Paris?,0,0.04113,hotel paris walked round place french streets girls good people opera returned dinner english shops full lunch back officers fine 
,Wheather,1,0.15663,cold day night weather rain morning snow heavy wind wet fine sunday warm afternoon today quiet early raining days mud 
War,Front line,2,0.08571,men fire guns gun light enemy front position forward firing machine smoke dark minutes immediately rear sound yards signal roar 
,Family & Oz,3,0.01312,pte mrs anzac father c/e mother sydney laborer pres n.s.w r.c miss australia batt wife coy kin sgt smith c/o 
War,Combat,4,0.17753,shells shell trenches guns fire fritz night line trench gun men big close bombardment firing quiet machine artillery front heavy 
Military life,,5,0.0316,para pte officer orders part coy charge field order battalion col battn a.i.f hours duty sentence absent capt div lieut 
War,Front line,6,0.09576,line morning night front enemy attack guns back trenches artillery left casualties wounded trench position heavy prisoners moved german boys 
Traveling?,Sea life,7,0.07936,ship boat sea port board harbour left ships passed boats aboard ashore troops wharf island bay sydney morning water arrived 
,Sports,8,0.03321,played won football match sports game afternoon team cricket beat playing great officers race coy boxing day prize competition nil 
War,Air,9,0.06336,planes air aeroplanes bombs machine dropped guns fritz plane night aeroplane great enemy flying shells lines machines bomb brought flew 
,Food,10,0.08712,tea bread dinner biscuits breakfast good coffee butter eggs food rations jam beef plenty issued meal bully canteen tin beer 
,Spiritual,11,0.01539,land world god man thy love hearts past face mother deep glory children tears gate procession beneath sacred dear loved 
Military life,,12,0.1203,parade men general afternoon battalion good morning work marched today day officers band ground march drill company order inspected lunch 
Accidental tourism?,Cities,13,0.07932,church place fine inside beautiful town round stone cathedral built walls building side places large houses high city small ancient 
,War context,14,0.04238,german prisoners oct germans english news turkish work food germany officers french british war told england september commandant armistice sept 
,Colors of life?,15,0.08055,white sun great red blue long sea beautiful black high sight sky hills grey dark clouds bright green dust huge 
,Military life,16,0.12247,men war australian great made british army life troops france general australians soldiers military years australia officers fighting battle death 
,"letters, family",17,0.05442,letter letters dear received love home time write dont news france good mother send ago hope days heard long back 
,Personal care & clouthes,18,0.05599,clothes boots clean pair men issue issued bath wear clothing socks wearing water hot kit baths put change blankets returned 
War / Military life,Turkey?,19,0.03486,turks trenches beach water turkish men good hill sea enemy turk post anzac stand round abdul artillery gully lying dead 
Traveling?,middle est?,20,0.02477,horses miles jerusalem road wadi turks valley hills water jordan left hill great camped turkish village camp moved made brigade 
Accidental tourism?,Egipt,21,0.05255,cairo native natives women city egypt streets round people pyramids egyptian white children street tram soldiers left interesting man large 
French,In French,22,0.00279,les pour vous sans qui dans madelon nous une c?est des ils pas tout moi tous son ceux sur votre 
City,London?,23,0.04348,london back tea train met park left breakfast cross hotel arrived victoria home dinner place caught lunch walked office bed 
Health?,,24,0.07276,wounded killed stretcher man hospital back poor chap left men dead bearers died leg head post station dressing hit brought 
Traveling?,Sea life?,25,0.0397,sea day deck ship boat hot morning weather passed mess night calm rough good board land sight afternoon drill water 
Health?,,26,0.09339,feet water day head feeling poor hospital bad eyes men sore doctor face feel bed sick body felt long awful 
Traveling?,Roads & railways,27,0.08899,train left arrived station camp marched town leave miles motor night march p.m passed amiens a.m railway hours morning city 
,Bread?,28,0.00992,ovens dough bakery bread machine bolt bakeries made flour oven gas spring left c.h gun yeast lbs required rouen feed 
Traveling?,Railway and more?,29,0.05143,train arrived large engine trucks boys number line back station made depot run left camp railway time hut started siding 
