numpapers,volume,issue
5,16,1
21,17,4
7,17,1
8,17,2
9,16,2
9,18,2
11,17,3
19,18,1
14,16,3
6,15,1
6,15,2
6,15,3
8,14,1
10,14,2
11,16,4
17,15,4
9,14,3
7,13,3
11,14,4
9,13,1
7,13,2
5,13,4
15,12,1
18,12,2
13,12,3
6,11,1
10,12,4
14,11,4
15,10,1
5,11,2
15,10,2
9,11,3
5,10,3
6,10,4
5,9,1
8,9,2
7,9,3
16,9,4
6,8,1
5,8,2
4,8,3
5,7,3
7,8,4
6,7,4
7,6,1
11,7,1
6,7,2
12,6,2
5,6,3
5,5,1
4,5,2
6,5,3
6,5,4
4,4,1
6,6,4
3,4,2
5,4,3
4,4,4
13,3,1
5,3,2
3,3,3
4,3,4
4,2,1
3,2,2
4,2,3
3,2,4
3,1,1
3,1,2
3,1,3
