Field1,Field2
8,5.597214747299999
78,5.2660285218
69,4.677909151000001
12,4.329275362599999
63,4.2371111924
17,3.3072845877
85,2.7619356117000007
40,2.3809626551000007
71,2.351565542
74,2.1286657492
50,2.0634624098999996
97,2.0511921096
94,1.668896978
70,1.5891904537999992
3,1.5667371183999999
9,1.5331646788000002
96,1.4819604146
65,1.3691607533999999
72,1.2475696114
20,1.1308544085999999
53,1.0252882241
80,1.0157732389
18,0.9924430045
75,0.9891755954000001
26,0.9616074176999999
39,0.7977691539
84,0.6636347309
57,0.6620519645999999
59,0.6079184587
93,0.5787859858000001
49,0.5426617570000001
90,0.5152238121
34,0.4912767141
60,0.48276272220000016
68,0.4324391271
77,0.4182629579
1,0.38027598760000003
5,0.37546153039999997
95,0.36983802899999996
15,0.3651819046
7,0.3439971268
66,0.31101149699999997
58,0.30614725950000005
46,0.2793780716
42,0.1982066338
45,0.18911426380000002
87,0.17858894579999998
23,0.17037658390000002
6,0.162044862
25,0.1608051788
37,0.1489797554
24,0.1453930054
79,0.145248997
62,0.1304520332
61,0.10934712479999999
89,0.1055999151
14,0.0852620932
19,0.0296372242
33,0.0276474012
83,0.0263283681
